learning_rate,accuracy,precision,recall,specificity,f1,test_bce,final_train_loss,n_iter
0.001,0.9646017699115044,0.9493670886075949,1.0,0.8947368421052632,0.974025974025974,0.11543354087860283,0.10078036525563201,10000
0.005,0.9646017699115044,0.9493670886075949,1.0,0.8947368421052632,0.974025974025974,0.09251430484492605,0.0651803621826871,10000
0.01,0.9646017699115044,0.9493670886075949,1.0,0.8947368421052632,0.974025974025974,0.0958987493978281,0.056111435729870644,10000
0.05,0.9646017699115044,0.9493670886075949,1.0,0.8947368421052632,0.974025974025974,0.11441867298503848,0.04515586172149388,6973
0.1,0.9646017699115044,0.9493670886075949,1.0,0.8947368421052632,0.974025974025974,0.12800346868402596,0.04123893426899959,6318
