model,accuracy,precision,recall,f1,roc_auc
From-scratch Logistic Regression,0.9646017699115044,0.9493670886075949,1.0,0.974025974025974,0.9928070175438597
scikit-learn LogisticRegression,0.9646017699115044,0.9493670886075949,1.0,0.974025974025974,0.9901754385964913
